#Procedure: <__main__.MCT_calib>
#Parameters:
#	Zero pressure paro sci period: 2.49138e-05 s
#	AH2500A address: GPIB1::3::INSTR
#	AH2500 avg. exponent: 7
#	Comments/Notes: 
#	HP counter address: GPIB0::9::INSTR
#	counter gate time: 4 s
#Data:
UTC,timestamp,C,Loss,Vex,Period,P_paro
3827747010.558712,2082844800.0000002,12.653769,0.01331,0.25,2.491383545851e-05,-6.831874077536507e-05
3827747015.82218,2082844805.263468,12.653895,0.01339,0.25,2.491383516191e-05,-7.619874106250882e-05
3827747021.006157,2082844810.4474452,12.653888,0.01295,0.25,2.491383491942e-05,-8.264115955214879e-05
3827747026.178056,2082844815.619344,12.653831,0.01276,0.25,2.491383452044e-05,-9.324116884870372e-05
3827747031.401,2082844820.8422883,12.653798,0.01272,0.25,2.491383410808e-05,-0.00010419665545525282
3827747036.5789776,2082844826.0202658,12.653747,0.01291,0.25,2.49138337849e-05,-0.0001127828285406922
3827747041.778912,2082844831.2202003,12.653758,0.0132,0.25,2.49138334477e-05,-0.00012174148202743104
3827747046.955818,2082844836.3971064,12.65376,0.01345,0.25,2.49138331316e-05,-0.00013013955592901548
3827747052.1197896,2082844841.5610778,12.65376,0.01356,0.25,2.491383281224e-05,-0.00013862424096313958
3827747057.322694,2082844846.763982,12.653785,0.01375,0.25,2.491383257029e-05,-0.00014505231479299002
3827747062.5096345,2082844851.9509227,12.653822,0.01356,0.25,2.491383227294e-05,-0.0001529522436479063
3827747067.6745787,2082844857.115867,12.65385,0.01344,0.25,2.491383190255e-05,-0.00016279268343944404
3827747072.8575134,2082844862.2988017,12.653875,0.01317,0.25,2.491383157571e-05,-0.00017147609691602186
3827747078.0024557,2082844867.443744,12.653826,0.01291,0.25,2.491383133929e-05,-0.00017775725176004368
3827747083.169428,2082844872.610716,12.653807,0.01287,0.25,2.491383102848e-05,-0.00018601478409872922
3827747088.3423705,2082844877.7836587,12.653793,0.01294,0.25,2.491383078039e-05,-0.0001926059853178631
3827747093.517275,2082844882.958563,12.653742,0.01307,0.25,2.491383047958e-05,-0.00020059784063138173
3827747098.702263,2082844888.143551,12.653738,0.01331,0.25,2.491383014466e-05,-0.00020949592310334943
3827747103.8731856,2082844893.3144739,12.653762,0.01347,0.25,2.491382989377e-05,-0.00021616151484501537
3827747109.0520954,2082844898.4933836,12.653795,0.01362,0.25,2.491382961758e-05,-0.0002234992719564315
3827747114.2130337,2082844903.654322,12.653826,0.01361,0.25,2.491382925817e-05,-0.00023304800053680096
3827747119.370004,2082844908.8112924,12.653843,0.01345,0.25,2.491382896765e-05,-0.00024076647460228958
3827747124.5119143,2082844913.9532025,12.653881,0.01341,0.25,2.49138286906e-05,-0.0002481270807763373
3827747129.695859,2082844919.1371472,12.653881,0.0129,0.25,2.491382840576e-05,-0.00025569465025981235
3827747134.8767996,2082844924.3180878,12.653835,0.01299,0.25,2.491382812913e-05,-0.0002630440984340876
3827747140.033738,2082844929.4750264,12.653797,0.0128,0.25,2.49138278864e-05,-0.0002694928987420286
3827747145.204676,2082844934.6459644,12.653764,0.01273,0.25,2.491382764355e-05,-0.00027594488717481584
3827747150.3886213,2082844939.8299096,12.653738,0.01298,0.25,2.491382739793e-05,-0.00028247046873291923
3827747155.592616,2082844945.0339043,12.653749,0.01326,0.25,2.491382712524e-05,-0.0002897152408045156
3827747160.8065934,2082844950.2478817,12.653749,0.01335,0.25,2.491382686209e-05,-0.0002967065560935759
3827747165.973496,2082844955.4147842,12.653766,0.01359,0.25,2.491382661644e-05,-0.00030323293534244197
3827747171.140439,2082844960.5817273,12.65382,0.01354,0.25,2.491382650569e-05,-0.00030617531888777323
3827747176.3033743,2082844965.7446625,12.653856,0.01342,0.25,2.491382614011e-05,-0.00031588797437995524
3827747181.5093517,2082844970.95064,12.653884,0.01318,0.25,2.491382592449e-05,-0.0003216165231018624
3827747186.7002544,2082844976.1415427,12.653887,0.01304,0.25,2.491382571291e-05,-0.0003272377380949917
3827747191.872231,2082844981.3135192,12.653843,0.01284,0.25,2.491382549534e-05,-0.0003330180944424055
3827747197.041168,2082844986.4824564,12.653804,0.01269,0.25,2.491382532741e-05,-0.0003374796252013617
3827747202.2720757,2082844991.713364,12.653795,0.01287,0.25,2.491382508128e-05,-0.0003440187581239246
3827747207.4420743,2082844996.8833625,12.653745,0.01301,0.25,2.491382493423e-05,-0.00034792555343726174
3827747212.6480145,2082845002.0893028,12.653737,0.0132,0.25,2.491382480736e-05,-0.00035129621060597284
3827747217.8579884,2082845007.2992766,12.653733,0.0134,0.25,2.491382467947e-05,-0.00035469396676735
3827747223.0759277,2082845012.517216,12.653768,0.01375,0.25,2.491382443945e-05,-0.00036107077094300443
3827747228.2898407,2082845017.731129,12.653806,0.01378,0.25,2.491382430019e-05,-0.0003647706033129132
3827747233.450781,2082845022.892069,12.653842,0.01355,0.25,2.491382418513e-05,-0.00036782749496839156
