#Procedure: <__main__.ds345_sr830_fsweep>
#Parameters:
#	Buffer measure time (s): 3
#	Delay (s): 1
#	Drive Amplitude (Vpp): 5
#	DS345 addr: 2::16
#	stop frequency (Hz): 1400
#	start frequency (Hz): 500
#	Frequency Step (Hz): 0.01
#	SR830 addr.: 2::25
#Data:
UTC,timestamp,f,X_sr,sigma_xsr,Y_sr,sigma_ysr
1702234123.4599216,2.0117669105529785,500.0,0.0009163433217747326,3.4671097350177657e-05,0.009690228630514705,3.833585991282722e-05
1702234128.8193533,7.371198654174805,500.01,0.0008810930711062834,3.5350594032414084e-05,0.009688066288749164,5.7111860670469405e-05
1702234134.1812882,12.733133554458618,500.02,0.0008789634449255355,4.202669549668827e-05,0.009694213050117135,2.636720375308787e-05
1702234139.5379884,18.089833736419678,500.03,0.0009198169631651606,3.6219909979835604e-05,0.00970250631431978,3.363701162405093e-05
1702234144.8938277,23.4456729888916,500.04,0.000894964697526738,3.493834578352256e-05,0.00971332080861464,3.426126446964701e-05
1702234150.250709,28.80255436897278,500.05,0.0008993084970088688,2.8070618566765294e-05,0.009652787582622155,2.2488071363373675e-05
1702234155.6141894,34.16603469848633,500.06,0.0009127493045097055,3.7163994431142205e-05,0.009689800870147256,2.6104407166776237e-05
1702234160.9695356,39.52138090133667,500.07,0.0008937932720465194,4.999883161811203e-05,0.00968383625648427,2.9298951601339285e-05
1702234166.3233452,44.8751904964447,500.08,0.0008751232142110107,2.8633274716208713e-05,0.009682079555199967,3.237259182223672e-05
1702234171.6790452,50.23089051246643,500.09,0.0009021224262558412,4.942351431826396e-05,0.00969273321459863,2.5131354714938402e-05
1702234177.039747,55.59159231185913,500.1,0.0009028218995774766,4.970374086256156e-05,0.009692374641796352,2.6688825217903047e-05
1702234182.395463,60.94730830192566,500.11,0.0009215817694369973,4.1365858919003326e-05,0.009667854206811327,3.213225089478924e-05
1702234187.7521427,66.30398797988892,500.12,0.0009267878404913101,2.4603056777765125e-05,0.009667014055711062,3.016854606228228e-05
1702234193.1135705,71.66541576385498,500.13,0.0009038684834743632,3.092636332709671e-05,0.009681231214917058,2.3700727642684906e-05
1702234198.4672692,77.01911449432373,500.14,0.0009425362163686498,3.175937001122984e-05,0.009680314497514204,2.241976653221935e-05
1702234203.8216195,82.37346482276917,500.15,0.000907449161305147,4.108309574385989e-05,0.009687535903033088,1.772776812779712e-05
1702234209.180076,87.73192119598389,500.16,0.0009288277855531418,4.0783966105149e-05,0.009720705409738468,3.436350277185255e-05
1702234214.5360777,93.08792304992676,500.17,0.0009281750031333556,4.2832939764616866e-05,0.00970422265363887,4.149476915872892e-05
1702234219.890785,98.44263029098511,500.18,0.0009298069591828209,4.0328222837960796e-05,0.00967129794034091,2.5440462303642522e-05
1702234225.2454858,103.79733109474182,500.19,0.0009134438143197791,3.937456916600255e-05,0.009674194826179719,3.014740528974004e-05
1702234230.607182,109.15902733802795,500.2,0.0008738457917848798,3.5398820876372426e-05,0.009732784989360815,3.5694353246016416e-05
1702234235.9720905,114.52393579483032,500.21,0.0008954682662943441,3.3946004235004007e-05,0.00970793983224565,2.269154601306095e-05
1702234241.3268356,119.87868094444275,500.22,0.0009122226327498329,4.638738185658861e-05,0.009660200639204546,3.4992616090669956e-05
1702234246.6839511,125.2357964515686,500.23,0.0009069889584379183,4.0912019445138734e-05,0.009662551573481426,2.4502304137643933e-05
1702234252.0396566,130.59150195121765,500.24,0.0009297852216156292,4.540989383782211e-05,0.00969682767528447,3.296603009928424e-05
1702234257.3944857,135.94633102416992,500.25,0.0009323589932647256,3.0594403076576225e-05,0.009674766775435073,2.7364478202472535e-05
1702234262.750156,141.30200123786926,500.26,0.0008914967909216243,3.921644632219908e-05,0.009694716509650736,3.442315266422345e-05
1702234268.1080444,146.65988969802856,500.27,0.0009275630196148062,3.0285291231266393e-05,0.009696674856910094,3.979137565387675e-05
1702234273.4777234,152.02956867218018,500.28,0.0008783187458221925,3.384568257609455e-05,0.009659139867772393,3.090101346001035e-05
1702234278.8358335,157.38767886161804,500.29,0.0008801890504727243,4.000037213847231e-05,0.00969686852880271,3.00685779743369e-05
1702234284.1890078,162.74085307121277,500.3,0.0008999829623788436,5.268026106656198e-05,0.009685128767860127,3.8731095543068505e-05
1702234289.5467682,168.0986135005951,500.31,0.000923809520701036,3.5107235228231934e-05,0.009665055708451704,4.192481671408348e-05
1702234294.9035404,173.45538568496704,500.32,0.0008957686437039209,3.385854194694144e-05,0.009689821954067528,3.1370997974088276e-05
1702234300.255241,178.80708622932434,500.33,0.0009088363239471925,3.717655341291509e-05,0.009652000060055982,3.5245410188680865e-05
1702234305.6179385,184.1697838306427,500.34,0.0009010845327122326,3.145116351275537e-05,0.00972009342621992,4.061620268143269e-05
1702234310.9763467,189.52819204330444,500.35,0.0009143033767129011,2.4770410386350084e-05,0.009671257141439673,2.3155488192884536e-05
1702234316.3332388,194.88508415222168,500.36,0.000908337124539826,2.7634679877124458e-05,0.00967619664857346,4.407846612427944e-05
1702234321.6879733,200.23981857299805,500.37,0.0009080920034303882,4.7183355217431226e-05,0.009682079555199967,2.8827940017904567e-05
1702234327.0419502,205.5937955379486,500.38,0.0009073675635026738,2.6977423130860522e-05,0.009661302209537934,3.076191159441843e-05
1702234332.399317,210.95116233825684,500.39,0.0009148328339399264,2.2899772686055143e-05,0.009664063153656291,3.598515546540326e-05
1702234337.7508998,216.30274510383606,500.4,0.0009203889124205154,2.7758695518267163e-05,0.00967296922063253,3.243897977660264e-05
1702234343.1021738,221.65401911735535,500.41,0.0009147102733852075,2.5692608398821266e-05,0.009698584376568776,1.7727696862431795e-05
1702234348.4583976,227.01024293899536,500.42,0.000918954451453877,3.2657271453660435e-05,0.00966134300843917,3.431728464270886e-05
1702234353.8163526,232.36819791793823,500.43,0.0009416386405414438,6.203075463062187e-05,0.009686271137094752,5.686897069538915e-05
1702234359.1740806,237.7259259223938,500.44,0.0009041292121611446,4.085515234767325e-05,0.00969703194287567,5.245766734648934e-05
1702234364.531163,243.08300828933716,500.45,0.0009013920264390897,2.7975563389363078e-05,0.009655075379643574,4.81496106617253e-05
1702234369.8939219,248.44576716423035,500.46,0.0008775027677974599,2.9956285885253556e-05,0.009684394387637867,3.749973918674201e-05
1702234375.2506065,253.80245184898376,500.47,0.0008636025220674364,4.2641484692393806e-05,0.009663695471992135,2.69286361367646e-05
1702234380.6063104,259.15815567970276,500.48,0.0009108824787216289,3.579847455595181e-05,0.009688699516021361,2.227189089608343e-05
1702234385.9690015,264.5208468437195,500.49,0.000920953597614472,3.5555557757987265e-05,0.009695940476687833,4.5379090291033195e-05
1702234391.3237045,269.8755497932434,500.5,0.0008967598491811498,4.51479984821257e-05,0.009700550752527574,3.409955959007538e-05
1702234396.682401,275.2342462539673,500.51,0.0009221367657503342,4.070749089277131e-05,0.009694512515144553,3.545185068184799e-05
1702234402.038555,280.5904002189636,500.52,0.0009119730876631526,2.9049695561417754e-05,0.009691271596803882,3.1338509894728176e-05
1702234407.3906443,285.94248962402344,500.53,0.0009336012569978276,2.5992806753253033e-05,0.009700999540441176,2.4437690429808286e-05
1702234412.7523906,291.3042359352112,500.54,0.0008993493505271084,2.6044622533979353e-05,0.009685878932396252,2.1454360367427405e-05
1702234418.1056757,296.6575210094452,500.55,0.0008924759645513035,3.5849839204666535e-05,0.00967647940079796,3.888396426298258e-05
1702234423.4650192,302.01686453819275,500.56,0.0009134846678380187,3.69763837216861e-05,0.00967194788267654,2.4776505254565093e-05
1702234428.820719,307.3725643157959,500.57,0.0008956990777489974,4.109281859477851e-05,0.009690840614033256,4.021908834013404e-05
1702234434.1774433,312.72928857803345,500.58,0.0009226263525651738,5.767383244289515e-05,0.009657181520513035,3.0899936097701826e-05
1702234439.5369313,318.08877658843994,500.59,0.0009061718880731259,3.432094317112074e-05,0.009661489382007196,2.9052682995656704e-05
1702234444.8924031,323.44424843788147,500.6,0.0008802707575092035,3.3347933931909325e-05,0.0097112898207413,5.0034669945492876e-05
1702234450.2446036,328.79644894599915,500.61,0.000884560977711397,6.100289859427017e-05,0.009675908216180648,2.1874109362250458e-05
1702234455.6019533,334.1537985801697,500.62,0.0009317653064421791,2.8189531303747983e-05,0.009682844029390876,2.557186474332208e-05
1702234460.9586768,339.5105221271515,500.63,0.0009272114499665328,2.571773590420546e-05,0.009681385045389892,4.361965937433539e-05
1702234466.3133774,344.8652226924896,500.64,0.0009370283647017045,3.871321293927514e-05,0.009698143617354613,3.59607542243968e-05
1702234471.6681247,350.21996998786926,500.65,0.000887951218938253,4.300006976620706e-05,0.009674725921916833,3.60718752926932e-05
1702234477.021783,355.57362842559814,500.66,0.0009114011384077979,4.4793418989434534e-05,0.009704834964859438,4.874675623988658e-05
1702234482.3772173,360.9290626049042,500.67,0.0009281919344042839,3.06063478051733e-05,0.00970896117020164,2.7388620322608773e-05
1702234487.7321532,366.2839984893799,500.68,0.0009142182787365952,3.9608090391771383e-05,0.00968519931823894,3.747341509173904e-05
1702234493.0860722,371.6379175186157,500.69,0.000929235774565508,3.220622986294775e-05,0.009688800668971424,1.6504302821838595e-05
1702234498.4410427,376.9928879737854,500.7,0.0009149969580339238,2.369074544636483e-05,0.009664566121636865,3.223234559229141e-05
1702234503.7979312,382.34977650642395,500.71,0.0009101418887867647,3.7487774626393515e-05,0.009688596674465241,5.067611141176026e-05
1702234509.1566281,387.708473443985,500.72,0.0009276446174172795,5.657916250348311e-05,0.009696552460206384,2.3856823900667424e-05
1702234514.5169065,393.0687518119812,500.73,0.0008933438833458835,3.309089584300254e-05,0.009667249728078982,3.668887047641893e-05
1702234519.873592,398.42543721199036,500.74,0.0009370041916261729,3.89870518801403e-05,0.009671208685908176,2.389702013967528e-05
1702234525.2272918,403.779137134552,500.75,0.0009205456086021056,4.991123206708262e-05,0.009663586948007187,3.3710337494787936e-05
1702234530.5839925,409.1358377933502,500.76,0.0009048911905160858,3.087109263750661e-05,0.009689903770630864,2.4229205470475057e-05
1702234535.9354925,414.4873378276825,500.77,0.0009177712833180147,5.796918023502688e-05,0.009656569536994486,3.0699729597462515e-05
1702234541.2990963,419.85094165802,500.78,0.0009018597118357286,3.9528956151152914e-05,0.009659711052389705,2.9655834204383278e-05
1702234546.6577947,425.20964002609253,500.79,0.0009152417514413436,3.9496939854623594e-05,0.009683782404119318,2.574342776730038e-05
1702234552.0234885,430.57533383369446,500.8,0.0009273907454339812,3.1190572945063976e-05,0.009693217341446046,3.0238166566826545e-05
1702234557.3751907,435.9270360469818,500.81,0.0009216145179677042,2.7334087388841964e-05,0.009663041815700301,2.7176956678486554e-05
1702234562.7308934,441.2827386856079,500.82,0.0009358723958333334,3.1383639739544394e-05,0.009658221100548025,2.5910150275057617e-05
1702234568.083858,446.6357033252716,500.83,0.0009034347023510709,2.328034071643724e-05,0.009670395448983434,2.0441542743679392e-05
1702234573.4389255,451.990770816803,500.84,0.0008868049172794118,4.9417828065701604e-05,0.00964730818641377,2.5067397398818628e-05
1702234578.7946284,457.34647369384766,500.85,0.0009000645601813168,3.296841545850827e-05,0.009664280529328209,2.4573540951836975e-05
1702234584.1513262,462.7031714916229,500.86,0.0008779421069695448,3.287629610030406e-05,0.009668516187144411,4.2212618063395895e-05
1702234589.511744,468.0635893344879,500.87,0.000885336593770917,2.4307465712079953e-05,0.009637753487909973,2.9563159500897958e-05
1702234594.865531,473.41737627983093,500.88,0.0009449025526403743,4.0616202681432685e-05,0.00967684659090909,3.559871883737915e-05
1702234600.2252283,478.7770736217499,500.89,0.0009236163403614458,2.276065326816371e-05,0.009680077732806224,3.896963119956546e-05
1702234605.5819278,484.1337730884552,500.9,0.0009305205849439425,2.0181803408556346e-05,0.009682569797418841,3.1583283968963035e-05
1702234610.9376278,489.48947310447693,500.91,0.0009065395697372825,3.5925553528248945e-05,0.009677830789303045,2.4326820814836937e-05
1702234616.2933276,494.8451728820801,500.92,0.0009146273615532842,4.5377150714863105e-05,0.009681272123198727,2.4491593839775507e-05
1702234621.6472702,500.19911551475525,500.93,0.0008899464326746323,2.381268684955608e-05,0.009675010640353442,3.989462932236639e-05
1702234627.0046415,505.5564868450165,500.94,0.0008931993960697597,4.173856712093106e-05,0.009688862493741655,1.7739134757279412e-05
1702234632.3678837,510.9197289943695,500.95,0.0008976743562792839,3.3707990083964596e-05,0.009677830789303045,3.744572062893771e-05
1702234637.721584,516.2734293937683,500.96,0.000887212906291778,3.7009708554909635e-05,0.009651020886426304,2.309070035393049e-05
1702234643.0791173,521.6309626102448,500.97,0.0008826402615671017,3.7889694547062024e-05,0.009704998378932397,3.8677301101232397e-05
1702234648.4322226,526.9840679168701,500.98,0.0008983688660893574,2.9957971556958143e-05,0.009661979624226071,3.8690891650949355e-05
1702234653.788076,532.3399212360382,500.99,0.0009279302097259358,1.6340354686425964e-05,0.009665667691970255,2.1901829092363407e-05
1702234659.1507704,537.702615737915,501.0,0.0009163444141147925,3.7724281203029056e-05,0.009675706406354585,4.375879057318037e-05
1702234664.5074747,543.059319972992,501.01,0.0008898304807772757,3.052493305959435e-05,0.009690127698293173,3.703681816525578e-05
1702234669.862173,548.4140183925629,501.02,0.0009488638146335341,3.391585171156811e-05,0.009686614295724564,3.343834887573451e-05
1702234675.2158725,553.7677178382874,501.03,0.0009207157405664324,1.7131707450130726e-05,0.009675502138763387,4.94754491310216e-05
1702234680.5705714,559.1224167346954,501.04,0.000932336491059492,2.3593197129817985e-05,0.009666034882081384,3.070298264661546e-05
1702234685.9262743,564.4781196117401,501.05,0.0009320100998495989,3.767150589075875e-05,0.00967684659090909,3.9887222683430404e-05
1702234691.2899668,569.8418121337891,501.06,0.0009191584459600601,4.0207332693392925e-05,0.00968594474588486,3.431599924350986e-05
1702234696.6459386,575.197783946991,501.07,0.0009257407233099063,3.59103587256116e-05,0.009663041815700301,3.646294941835123e-05
1702234701.99764,580.549485206604,501.08,0.000894964697526738,3.701483546900289e-05,0.009707731359145221,3.719380986101183e-05
1702234707.3576765,585.909521818161,501.09,0.0009181011153990964,3.769489285126326e-05,0.009710268482785308,3.076446244996641e-05
1702234712.7112424,591.2630877494812,501.1,0.0009079488797563418,3.3411923276842196e-05,0.009680387652286382,2.943756170905172e-05
1702234718.0741408,596.6259860992432,501.11,0.0009116819652731233,3.352273315471492e-05,0.009682049380550437,2.3702845821615483e-05
1702234723.428298,601.9801433086395,501.12,0.0009352187395414994,3.564304995010702e-05,0.00965662781333668,2.3124751389337158e-05
1702234728.7828333,607.3346786499023,501.13,0.0009042926262341031,3.603910194550901e-05,0.009651030881337851,3.094696477839526e-05
1702234734.13936,612.6912052631378,501.14,0.0009173632943056484,3.1447749670078814e-05,0.00965542716775986,3.347109134625026e-05
1702234739.4951198,618.0469651222229,501.15,0.0009139340565386547,2.993941380820792e-05,0.009665207052167002,4.81032439058178e-05
1702234744.8496506,623.4014959335327,501.16,0.0009183016690340909,1.8598571920836262e-05,0.009663301355698529,3.498138809577937e-05
1702234750.20762,628.7594652175903,501.17,0.0009285596160684404,4.2353179486884305e-05,0.009671212519348226,2.075278304703256e-05
1702234755.561414,634.1132593154907,501.18,0.0008983280125711178,2.9451675036278658e-05,0.009704957525414157,2.2019326266651412e-05
1702234760.915113,639.466958284378,501.19,0.0009250207959571095,2.904623525454987e-05,0.009689718126773198,2.389333421793236e-05
1702234766.2810762,644.8329215049744,501.2,0.0008992077832553476,3.489715838141856e-05,0.009689983837107286,4.416582348278465e-05
1702234771.6407733,650.1926186084747,501.21,0.0009055316129470254,4.5773003518138665e-05,0.00967419466232871,4.558541039355799e-05
1702234777.0034668,655.5553121566772,501.22,0.0009172000987007019,2.3847332952227604e-05,0.009694349319539606,3.9870923234612617e-05
1702234782.3611677,660.9130129814148,501.23,0.0008996353251547858,2.552132069514722e-05,0.009675992380982263,4.069076044279175e-05
1702234787.7158754,666.2677206993103,501.24,0.000916628914083389,5.3653192252692135e-05,0.00969283976019385,4.647967260233793e-05
1702234793.076427,671.6282722949982,501.25,0.0009216471789354946,4.881588106731152e-05,0.009694879705255682,4.8743811748085556e-05
1702234798.4331262,676.9849715232849,501.26,0.0009340092460101938,2.077537578866946e-05,0.009660649427118148,2.5206292885616424e-05
1702234803.7910285,682.3428738117218,501.27,0.0009084691338360629,2.4164628150779595e-05,0.00967758097113135,2.9860002006954365e-05
1702234809.147728,687.6995732784271,501.28,0.0009096852906417336,3.9565783487999195e-05,0.00968833014349063,2.124280812209652e-05
