% Module: Plotter, ID: c0p1t10p1cfm0
% Devices: DEV4934
% Time: 2023/12/11 18:09:44
% Demod 1 Sample Frequency,  /dev4934/demods/0/sample.Frequency
% Time (s), Osc Frequency (Hz)
% Demod 1 Sample Y,  /dev4934/demods/0/sample.Y
% Time (s), Amplitude (V)
-710.759765333, 1275.90000858
-709.536426667, 1275.90000154
-708.313088, 1275.90000112
-707.089749333, 1275.90000261
-705.866410667, 1275.90000645
-704.643072, 1275.90000922
-703.419733333, 1275.90001007
-702.196394667, 1275.90000432
-700.973056, 1275.8999992
-699.749717333, 1275.90000091
-698.526378667, 1275.90000602
-697.30304, 1275.90000197
-696.079701333, 1275.89998918
-689.963008, 1275.90000197
-688.739669333, 1275.90000474
-687.516330667, 1275.9000041
-686.292992, 1275.90000496
-685.069653333, 1275.90000602
-683.846314667, 1275.90000197
-682.622976, 1275.89999835
-681.399637333, 1275.89999558
-680.176298667, 1275.89999963
-678.95296, 1275.89999856
-677.729621333, 1275.89998918
-676.506282667, 1275.89998449
-675.282944, 1275.89999686
-674.059605333, 1275.90000666
-672.836266667, 1275.90001902
-671.612928, 1275.90001817
-670.389589333, 1275.90000943
-669.166250667, 1275.90000304
-667.942912, 1275.8999992
-666.719573333, 1275.90000517
-665.496234667, 1275.89999643
-664.272896, 1275.89998854
-663.049557333, 1275.89998556
-661.826218667, 1275.89998044
-660.60288, 1275.89998982
-659.379541333, 1275.89999643
-658.156202667, 1275.90000538
-656.932864, 1275.90001092
-655.709525333, 1275.90001284
-654.486186667, 1275.90001988
-653.262848, 1275.90001071
-652.039509333, 1275.899996
-650.816170667, 1275.89999366
-649.592832, 1275.8999943
-648.369493333, 1275.89999728
-647.146154667, 1275.90000154
-645.922816, 1275.90000282
-644.699477333, 1275.89999984
-643.476138667, 1275.90000517
-642.2528, 1275.90000474
-641.029461333, 1275.89999579
-639.806122667, 1275.89999707
-638.582784, 1275.89999963
-637.359445333, 1275.89999877
-636.136106667, 1275.89999174
-634.912768, 1275.89999302
-633.689429333, 1275.89999515
-632.466090667, 1275.89999579
-631.242752, 1275.90000623
-630.019413333, 1275.90001497
-628.796074667, 1275.90001114
-627.572736, 1275.90000176
-626.349397333, 1275.89999579
-625.126058667, 1275.89999174
-623.90272, 1275.89999472
-622.679381333, 1275.89999749
-621.456042667, 1275.89999174
-620.232704, 1275.89999515
-619.009365333, 1275.89999856
-617.786026667, 1275.8999992
-616.562688, 1275.90000176
-615.339349333, 1275.89999749
-614.116010667, 1275.89999622
-612.892672, 1275.90000751
-611.669333333, 1275.90000922
-610.445994667, 1275.9000024
-609.222656, 1275.90000623
-607.999317333, 1275.90000879
-606.775978667, 1275.90000197
-605.55264, 1275.89999366
-604.329301333, 1275.89999622
-603.105962667, 1275.89999856
-601.882624, 1275.90000133
-600.659285333, 1275.90000325
-599.435946667, 1275.9000056
-598.212608, 1275.90000112
-596.989269333, 1275.89999643
-595.765930667, 1275.89999877
-594.542592, 1275.90000154
-593.319253333, 1275.89999366
-592.095914667, 1275.8999879
-590.872576, 1275.89999046
-589.649237333, 1275.89999664
-588.425898667, 1275.90000261
-587.20256, 1275.90000325
-585.979221333, 1275.9000041
-584.755882667, 1275.90000538
-583.532544, 1275.9000056
-582.309205333, 1275.90000474
-581.085866667, 1275.90000496
-579.862528, 1275.9000041
-578.639189333, 1275.89999856
-577.415850667, 1275.89999302
-576.192512, 1275.89999515
-574.969173333, 1275.89999408
-573.745834667, 1275.89999131
-572.522496, 1275.89999366
-571.299157333, 1275.89999366
-570.075818667, 1275.89999558
-568.85248, 1275.90000027
-567.629141333, 1275.90000687
-566.405802667, 1275.90001156
-565.182464, 1275.90001476
-563.959125333, 1275.90000687
-562.735786667, 1275.89999963
-561.512448, 1275.89999664
-560.289109333, 1275.89999195
-559.065770667, 1275.89999131
-557.842432, 1275.89999217
-556.619093333, 1275.89999281
-555.395754667, 1275.89999771
-554.172416, 1275.90000112
-552.949077333, 1275.90000069
-551.725738667, 1275.90000133
-550.5024, 1275.9000073
-549.279061333, 1275.90000389
-548.055722667, 1275.90000197
-546.832384, 1275.89999366
-545.609045333, 1275.89999451
-544.385706667, 1275.89999025
-543.162368, 1275.89999771
-541.939029333, 1275.90000581
-540.715690667, 1275.90000858
-539.492352, 1275.90000922
-538.269013333, 1275.90000474
-537.045674667, 1275.9000073
-535.822336, 1275.90000282
-534.598997333, 1275.90000048
-533.375658667, 1275.90000133
-532.15232, 1275.89999728
-530.928981333, 1275.89999536
-529.705642667, 1275.8999943
-528.482304, 1275.89999025
-527.258965333, 1275.89999387
-526.035626667, 1275.90000069
-524.812288, 1275.89999877
-523.588949333, 1275.89999771
-522.365610667, 1275.90000218
-521.142272, 1275.90000346
-519.918933333, 1275.89999941
-518.695594667, 1275.90000005
-517.472256, 1275.90000091
-516.248917333, 1275.89999813
-515.025578667, 1275.89999536
-513.80224, 1275.89999771
-512.578901333, 1275.90000069
-511.355562667, 1275.89999856
-510.132224, 1275.89999771
-508.908885333, 1275.89999494
-507.685546667, 1275.89999131
-506.462208, 1275.89999025
-505.238869333, 1275.90000176
-504.015530667, 1275.90000687
-502.792192, 1275.90000453
-501.568853333, 1275.9000041
-500.345514667, 1275.9000073
-499.122176, 1275.90001071
-497.898837333, 1275.90001156
-496.675498667, 1275.90000027
-495.45216, 1275.89999387
-494.228821333, 1275.89999408
-493.005482667, 1275.89999792
-491.782144, 1275.89999856
-490.558805333, 1275.89999963
-489.335466667, 1275.90000176
-488.112128, 1275.90000538
-486.888789333, 1275.90000453
-485.665450667, 1275.90000069
-484.442112, 1275.90000432
-483.218773333, 1275.90000133
-481.995434667, 1275.89999963
-480.772096, 1275.90000538
-479.548757333, 1275.90001242
-478.325418667, 1275.9000041
-477.10208, 1275.89999899
-475.878741333, 1275.89999622
-474.655402667, 1275.89999025
-473.432064, 1275.89999153
-472.208725333, 1275.89999707
-470.985386667, 1275.89999217
-469.762048, 1275.89999302
-468.538709333, 1275.89999941
-467.315370667, 1275.90000261
-466.092032, 1275.89999579
-464.868693333, 1275.89999344
-463.645354667, 1275.89999686
-462.422016, 1275.90000069
-461.198677333, 1275.9000073
-459.975338667, 1275.9000041
-458.752, 1275.90000496
-457.528661333, 1275.90000645
-456.305322667, 1275.90000517
-455.081984, 1275.89999963
-453.858645333, 1275.89999302
-452.635306667, 1275.89999472
-451.411968, 1275.89999643
-450.188629333, 1275.89999877
-448.965290667, 1275.89999281
-447.741952, 1275.89999451
-446.518613333, 1275.89999579
-445.295274667, 1275.89999643
-444.071936, 1275.90000325
-442.848597333, 1275.90000922
-441.625258667, 1275.90000218
-440.40192, 1275.89999536
-439.178581333, 1275.89999302
-437.955242667, 1275.89999728
-436.731904, 1275.89999643
-435.508565333, 1275.89999366
-434.285226667, 1275.89999387
-433.061888, 1275.89999856
-431.838549333, 1275.90000154
-430.615210667, 1275.90000645
-429.391872, 1275.90001114
-428.168533333, 1275.90001071
-426.945194667, 1275.90000709
-425.721856, 1275.89999963
