#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717531490.4083173,6.034890174865723,22500.0,1.46628e-05,0.000389697,-5.11594e-13,2.50716e-11
1717531493.4776895,9.104262351989746,22501.0,1.4782e-05,0.000389339,-9.77003e-13,2.39525e-11
1717531496.5543237,12.180896520614624,22502.0,1.49012e-05,0.000389459,-3.26851e-13,2.54482e-11
1717531499.6299863,15.256559133529663,22503.0,1.52589e-05,0.000389578,-1.64136e-12,2.4862e-11
1717531502.7003326,18.326905488967896,22504.0,1.54973e-05,0.000389697,-1.25056e-12,2.44605e-11
1717531505.7739651,21.400537967681885,22505.0,1.51396e-05,0.000389459,-1.36425e-12,2.52706e-11
1717531508.8443916,24.470964431762695,22506.0,1.52589e-05,0.000390412,-2.62903e-13,2.45245e-11
1717531511.9190514,27.545624256134033,22507.0,1.54973e-05,0.000390412,-1.63426e-12,2.40094e-11
1717531514.9856956,30.612268447875977,22508.0,1.44244e-05,0.000390531,-5.68439e-14,2.52492e-11
1717531518.0558908,33.68246364593506,22509.0,1.56165e-05,0.000389935,-1.4353e-12,2.45565e-11
1717531521.12055,36.7471227645874,22510.0,1.49012e-05,0.000390055,-1.01964e-12,2.55832e-11
1717531524.2000663,39.82663917541504,22511.0,1.52589e-05,0.000389816,-1.13688e-12,2.56862e-11
1717531527.2750924,42.90166521072388,22512.0,1.52589e-05,0.000390412,-3.09798e-12,2.41053e-11
1717531530.3439429,45.970515727996826,22513.0,1.53781e-05,0.000391008,-1.60583e-12,2.4052e-11
1717531533.409637,49.03620982170105,22514.0,1.51396e-05,0.000390055,-1.83321e-12,2.51782e-11
1717531536.4735594,52.10013222694397,22515.0,1.46628e-05,0.000391247,-4.83173e-13,2.52919e-11
1717531539.540439,55.167011737823486,22516.0,1.49012e-05,0.000391366,-8.63313e-13,2.67485e-11
1717531542.6204727,58.24704551696777,22517.0,1.52589e-05,0.000391008,-1.21504e-12,2.54269e-11
1717531545.6957572,61.32232999801636,22518.0,1.4782e-05,0.000391247,-2.40875e-12,2.50077e-11
1717531548.787761,64.41433382034302,22519.0,1.4782e-05,0.000391247,-1.34649e-12,2.44854e-11
1717531551.8527844,67.47935724258423,22520.0,1.51396e-05,0.00039077,-1.83677e-12,2.52954e-11
1717531554.9167218,70.54329466819763,22521.0,1.50204e-05,0.000391962,-1.73728e-12,2.4528e-11
1717531557.9778452,73.6044180393219,22522.0,1.54973e-05,0.000391604,-1.53123e-12,2.49011e-11
1717531561.0398479,76.6664206981659,22523.0,1.49012e-05,0.000391604,-1.13688e-13,2.43291e-11
1717531564.100386,79.72695875167847,22524.0,1.50204e-05,0.000391247,-2.68942e-12,2.40733e-11
1717531567.1651673,82.79174017906189,22525.0,1.54973e-05,0.00039232,-1.52767e-12,2.56898e-11
1717531570.2289371,85.85550999641418,22526.0,1.49012e-05,0.000391604,-6.18176e-13,2.5434e-11
1717531573.2906687,88.91724157333374,22527.0,1.45436e-05,0.000392081,-1.35714e-12,2.44037e-11
1717531576.3523397,91.9789125919342,22528.0,1.51396e-05,0.000391843,-1.77992e-12,2.46808e-11
1717531579.413913,95.04048585891724,22529.0,1.50204e-05,0.000392558,-1.04806e-12,2.537e-11
1717531582.4770381,98.10361099243164,22530.0,1.50204e-05,0.000391962,-5.68438e-13,2.49508e-11
1717531585.5379336,101.16450643539429,22531.0,1.50204e-05,0.000392677,-1.46017e-12,2.49686e-11
1717531588.6001353,104.22670817375183,22532.0,1.52589e-05,0.000392677,-1.9469e-12,2.45565e-11
1717531591.663288,107.28986096382141,22533.0,1.51396e-05,0.000392439,-7.63837e-13,2.61552e-11
1717531594.7241604,110.35073328018188,22534.0,1.51396e-05,0.000392439,-1.98598e-12,2.49082e-11
1717531597.7868102,113.41338300704956,22535.0,1.53781e-05,0.000392558,-6.60808e-13,2.44748e-11
1717531600.849923,116.47649574279785,22536.0,1.52589e-05,0.000393273,-3.82985e-12,2.5132e-11
1717531603.9135683,119.54014110565186,22537.0,1.50204e-05,0.000392558,-6.96335e-13,2.54766e-11
1717531606.9759514,122.6025242805481,22538.0,1.51396e-05,0.000392796,-5.50674e-13,2.44463e-11
1717531610.0395482,125.66612100601196,22539.0,1.50204e-05,0.000393631,-8.52655e-13,2.52421e-11
1717531613.1084573,128.73503017425537,22540.0,1.4782e-05,0.000393631,-1.67689e-12,2.41337e-11
1717531616.1688323,131.79540514945984,22541.0,1.56165e-05,0.000393154,-1.45307e-12,2.50432e-11
1717531619.2300067,134.85657954216003,22542.0,1.54973e-05,0.000393989,-8.9884e-13,2.43042e-11
1717531622.29106,137.91763281822205,22543.0,1.50204e-05,0.000394227,-1.04806e-12,2.56649e-11
1717531625.353201,140.97977375984192,22544.0,1.54973e-05,0.000394108,-6.8923e-13,2.3885e-11
