#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 22800
#	start frequency (Hz): 22700
#	Frequency Step (Hz): 0.1
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,Y_1,X_2,Y_2
1717533028.4997165,6.0169031620025635,22700.0,2.41996e-05,0.000461938,-1.53478e-12,2.88304e-11
1717533031.5623307,9.079517364501953,22700.1,2.49149e-05,0.000462057,-2.04993e-12,2.87345e-11
1717533034.629369,12.146555662155151,22700.2,2.45572e-05,0.000462295,-8.2068e-13,2.92746e-11
1717533037.6929653,15.21015191078186,22700.3,2.51533e-05,0.000462653,-1.09424e-12,2.97187e-11
1717533040.7560244,18.273211002349854,22700.4,2.47956e-05,0.000462892,-7.03441e-13,2.78321e-11
1717533043.8192167,21.336403369903564,22700.5,2.43188e-05,0.00046313,-7.31862e-13,2.91787e-11
1717533046.8823636,24.399550199508667,22700.6,2.47956e-05,0.000463368,-7.24757e-13,2.8841e-11
1717533049.9461327,27.463319301605225,22700.7,2.45572e-05,0.000463368,-2.46204e-12,2.91467e-11
1717533053.0098557,30.527042388916016,22700.8,2.46764e-05,0.000463726,-1.52057e-12,2.90045e-11
1717533056.0707932,33.587979793548584,22700.9,2.41996e-05,0.000463488,-1.99664e-12,2.95659e-11
1717533059.13609,36.653276681900024,22701.0,2.56301e-05,0.000463607,-1.72663e-12,2.88304e-11
1717533062.2003949,39.71758151054382,22701.1,2.49149e-05,0.000463845,-3.23299e-13,2.83721e-11
1717533065.2650616,42.7822482585907,22701.2,2.4438e-05,0.000464203,-1.10845e-12,2.83117e-11
1717533068.3280723,45.845258951187134,22701.3,2.40804e-05,0.000464084,-1.46728e-12,2.88197e-11
1717533071.391846,48.909032583236694,22701.4,2.43188e-05,0.000464322,-8.84629e-13,2.84573e-11
1717533074.453276,51.97046256065369,22701.5,2.41996e-05,0.000465395,-1.63426e-12,2.86776e-11
1717533077.5163784,55.033565044403076,22701.6,2.52725e-05,0.000465276,-1.46017e-12,3.04861e-11
1717533080.5794742,58.09666085243225,22701.7,2.50341e-05,0.000465276,-1.76926e-12,2.96654e-11
1717533083.6415832,61.158769845962524,22701.8,2.47956e-05,0.000465514,-9.05945e-13,2.96831e-11
1717533086.7042427,64.22142934799194,22701.9,2.52725e-05,0.000465514,-1.12622e-12,2.96334e-11
