#Procedure: <__main__.tek_dual_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 1
#	stop frequency (Hz): 23100
#	start frequency (Hz): 22900
#	Frequency Step (Hz): 1
#	Buffer/sample size per measurement: 100
#	SR830_1 addr.: 0::12
#	SR830_2 addr.: 2::9
#	Tek AFG addr: 0::1
#Data:
UTC,timestamp,f,X_1,sigma_x1,Y_1,sigma_y2,X_2,sigma_x2,Y_2,sigma_y2
1717638563.3809898,6.026007890701294,22900.0,2.0477771759033203e-05,3.6880973006691063e-07,0.000436701774597168,7.153688509664803e-13,4.592237701217527e-13,6.516328934162114e-13,-8.081286750893923e-12,7.153688509664803e-13
1717638674.7159877,117.36100578308105,22901.0,2.0594596862792968e-05,3.2036928238374377e-07,0.0004373061656951904,6.61596605175223e-13,4.0458303374180103e-13,6.639426450551003e-13,-8.010161423044337e-12,6.61596605175223e-13
1717638786.0669565,228.7119746208191,22902.0,2.060651779174805e-05,3.3294196359194754e-07,0.00043794631958007815,7.37690327480939e-13,4.1161740682582604e-13,7.055351295646568e-13,-8.020890618354314e-12,7.37690327480939e-13
1717638897.408987,340.0540051460266,22903.0,2.077854040897254e-05,3.820617559351563e-07,0.00043863359123769434,6.981249652701332e-13,3.501554601825774e-13,7.4160246354179e-13,-7.897185128058482e-12,6.981249652701332e-13
1717639008.7349544,451.37997245788574,22904.0,2.0821889241536457e-05,3.358951827571848e-07,0.00043938135859942194,6.792077193475126e-13,4.2817305256903636e-13,7.586670922165766e-13,-7.934701784506615e-12,6.792077193475126e-13
1717639120.0549524,562.6999704837799,22905.0,2.0918219980567394e-05,3.304421674162941e-07,0.00044004483656449753,6.629881570504467e-13,4.2973624658770857e-13,6.996291711209182e-13,-7.789680012137978e-12,6.629881570504467e-13
1717639231.3829858,674.0280039310455,22906.0,2.1059103686400133e-05,3.9160104212854964e-07,0.00044069386491871844,7.119647289103849e-13,3.6216363241692306e-13,6.749261805954824e-13,-7.624976205988786e-12,7.119647289103849e-13
1717639342.7099895,785.355007648468,22907.0,2.115182202271741e-05,2.9208136939493975e-07,0.0004414548777570628,6.161801819039973e-13,4.508393658397836e-13,7.444808786947521e-13,-7.729923368060555e-12,6.161801819039973e-13
1717639454.0319817,896.6769998073578,22908.0,2.1287889191598602e-05,3.4228349699756356e-07,0.0004422447898171165,6.728645224713926e-13,3.998223974122084e-13,6.010299982447957e-13,-7.618581321366946e-12,6.728645224713926e-13
1717639565.3409834,1007.9860014915466,22909.0,2.1398669541484176e-05,3.5717552545100607e-07,0.0004431274202134874,6.405649717779433e-13,3.296918293926865e-13,6.936957077793303e-13,-7.55797202600661e-12,6.405649717779433e-13
1717639676.64399,1119.289008140564,22910.0,2.146369279033006e-05,3.291496038585218e-07,0.0004438775958436908,5.510483664470278e-13,4.1239900383516214e-13,5.952702288014364e-13,-7.559251002930977e-12,5.510483664470278e-13
1717639787.9649866,1230.6100046634674,22911.0,2.1632271583634195e-05,3.9202291048878275e-07,0.0004446530582928898,6.357042004133065e-13,3.9406700125255157e-13,6.521399937709391e-13,-7.271623303495289e-12,6.357042004133065e-13
1717639899.2769902,1341.9220082759857,22912.0,2.1768338752515387e-05,3.692080576824776e-07,0.00044564646903914634,7.155224584273778e-13,4.67963445771602e-13,7.039474366598797e-13,-7.314255867640896e-12,7.155224584273778e-13
1717640010.6049552,1453.2499732971191,22913.0,2.194534648548473e-05,3.2507610394352545e-07,0.00044651103742194897,5.785907700512014e-13,4.091305072506657e-13,6.14817959199574e-13,-7.293934345398156e-12,5.785907700512014e-13
1717640121.9339874,1564.5790054798126,22914.0,2.2022411076709477e-05,3.4624251346569344e-07,0.00044744544559054903,5.690403846540875e-13,3.383604507689597e-13,6.31755833495476e-13,-7.202629603852983e-12,5.690403846540875e-13
1717640233.2299893,1675.875007390976,22915.0,2.2154865842877012e-05,3.3690376277877463e-07,0.00044832446358420634,6.288004174262723e-13,4.585842816595687e-13,6.176921078364679e-13,-7.00644875450962e-12,6.288004174262723e-13
1717640344.544987,1787.1900050640106,22916.0,2.227166686395202e-05,3.6262638021312917e-07,0.0004492660965582337,6.617660129817459e-13,4.759925786856911e-13,6.814015887855764e-13,-6.975540145504056e-12,6.617660129817459e-13
1717640455.850957,1898.4959750175476,22917.0,2.2476369684392754e-05,3.465271560365632e-07,0.00045029803960010257,5.653600439460731e-13,3.7843506106582934e-13,6.738452704236269e-13,-6.875069402667578e-12,5.653600439460731e-13
1717640567.1659555,2009.8109736442566,22918.0,2.2629294732604363e-05,3.3548485113271646e-07,0.00045136731080334594,6.540213142598726e-13,3.952038696297677e-13,6.811750376640421e-13,-6.77957245898142e-12,6.540213142598726e-13
1717640678.4779882,2121.1230063438416,22919.0,2.2701542786877566e-05,2.993623990388414e-07,0.0004524281530669241,7.059473583462782e-13,5.454836582430289e-13,6.239292350918892e-13,-6.714699907206523e-12,7.059473583462782e-13
1717640789.7869873,2232.432005405426,22920.0,2.2977289527353613e-05,3.377462384180383e-07,0.0004535251193576389,6.203376293935515e-13,4.018829713459127e-13,6.59762036736126e-13,-6.644782502007729e-12,6.203376293935515e-13
1717640901.1349533,2343.7799713611603,22921.0,2.321089156950363e-05,3.1980590320220663e-07,0.00045460281950054747,7.320799287904763e-13,4.440892098500626e-13,6.786322956817855e-13,-6.4721916714916005e-12,7.320799287904763e-13
1717641012.4499853,2455.0950033664703,22922.0,2.3342142201433277e-05,3.248931798846322e-07,0.00045583464882590556,7.654630789041972e-13,4.60929072687577e-13,6.976108832992677e-13,-6.3300120700660046e-12,7.654630789041972e-13
1717641123.7409534,2566.385971546173,22923.0,2.3520354068640508e-05,3.1989656655471185e-07,0.0004570062714393693,7.322203086210513e-13,4.966693722963101e-13,6.000553386160566e-13,-6.32546459655714e-12,7.322203086210513e-13
1717641235.0609837,2677.7060017585754,22924.0,2.3789551793312538e-05,3.5765476130989827e-07,0.00045826118819567623,7.298080731909813e-13,6.470245215027579e-13,6.408767944268165e-13,-6.050522596974542e-12,7.298080731909813e-13
1717641345.6648557,2788.309873819351,22925.0,2.393552235194615e-05,3.5528874473955066e-07,0.0004595153185786033,6.777507225300266e-13,4.155224916980749e-13,6.307828427286406e-13,-5.977694529844615e-12,6.777507225300266e-13
1717641455.7433329,2898.3883509635925,22926.0,2.420921714938417e-05,3.5094545697709304e-07,0.00046093731510395906,6.793115109952621e-13,5.723816482511918e-13,7.548048077535127e-13,-5.688648205691469e-12,6.793115109952621e-13
1717641566.1694996,3008.814517736435,22927.0,2.4429389408656528e-05,3.3033174687233695e-07,0.00046230335624850526,6.59573078718731e-13,4.3205348595861603e-13,5.724023303573145e-13,-5.749233288989504e-12,6.59573078718731e-13
1717641676.435654,3119.0806720256805,22928.0,2.4665375145114197e-05,3.7158236976722795e-07,0.00046366453170776367,7.140411445598037e-13,4.807764164107372e-13,6.77303579563151e-13,-5.620538048583976e-12,7.140411445598037e-13
1717641786.4893658,3229.134383916855,22929.0,2.4974346160888672e-05,2.840727962359748e-07,0.0004651437000352509,6.651422170004817e-13,4.285505732549049e-13,6.649223906914946e-13,-5.524720972512068e-12,6.651422170004817e-13
1717641897.0143263,3339.659344434738,22930.0,2.521763042527802e-05,3.099106373712871e-07,0.00046664598036785516,6.451563218187806e-13,5.167583532800729e-13,7.576213967562142e-13,-5.263470916131587e-12,6.451563218187806e-13
1717642007.3772788,3450.0222969055176,22931.0,2.5507138699901348e-05,2.892347061234164e-07,0.00046822854450770786,6.608797144772477e-13,4.745410413826384e-13,5.750293977170404e-13,-5.1475921031387585e-12,6.608797144772477e-13
1717642117.500425,3560.145443201065,22932.0,2.5732176644461496e-05,3.5600227901538563e-07,0.0004698269221247459,6.911440251667849e-13,6.268565913261329e-13,6.816046373865429e-13,-5.106074934361698e-12,6.911440251667849e-13
1717642227.8917596,3670.5367777347565,22933.0,2.6199282432089046e-05,3.606684091316681e-07,0.0004715518075592664,8.166480423479713e-13,5.022377072051239e-13,7.066221922478181e-13,-4.928048898661046e-12,8.166480423479713e-13
1717642338.139315,3780.7843329906464,22934.0,2.6499738498609892e-05,3.633436438900417e-07,0.0004734032008112693,7.193434170020055e-13,5.635038920742346e-13,7.425637531939627e-13,-4.840608639546079e-12,7.193434170020055e-13
1717642448.1583004,3890.803318500519,22935.0,2.6840336468754982e-05,3.5410398674083453e-07,0.0004752558104845942,6.429931488366607e-13,5.682906446210579e-13,7.058946360312454e-13,-4.5659906831905106e-12,6.429931488366607e-13
1717642558.5207665,4001.165784597397,22936.0,2.7227158449134048e-05,3.7802531100319907e-07,0.00047714247995493366,6.188323265354513e-13,6.312954694146115e-13,7.404829334050795e-13,-4.2438252458683865e-12,6.188323265354513e-13
