#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 1
#	Drive Amplitude (Vpp): 4
#	stop frequency (Hz): 27000
#	start frequency (Hz): 22000
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1698386697.6488776,6.005342483520508,22000.000000090837,-3.354339539994515e-10,1.583980410128547e-10,-0.0111466,0.00873572
1698386698.7242122,7.080677032470703,22000.99999996041,1.892784609855676e-10,1.4007704415439297e-10,-0.0111466,0.00873572
1698386699.7795613,8.13602614402771,22002.000000043154,2.1929223617577851e-10,2.95523768227036e-10,-0.0111466,0.00873572
1698386700.8329098,9.189374685287476,22002.999999912732,2.051178260132156e-10,-7.524707948292227e-11,-0.0111466,0.00874335
1698386701.888259,10.244723796844482,22003.99999999547,3.002045405680933e-11,-3.494065139714845e-10,-0.0111466,0.00874335
1698386702.9406085,11.297073364257812,22005.000000078213,-2.1235790292997194e-10,-7.263081901706454e-11,-0.0111466,0.00874335
1698386704.003952,12.360416889190674,22005.999999947788,4.5385372190540125e-11,2.2174251443839414e-10,-0.0111466,0.00874335
1698386705.0493045,13.405769348144531,22007.00000003053,1.6055073866369633e-10,5.107299603958033e-10,-0.0111466,0.00874335
1698386706.1036534,14.460118293762207,22007.99999990011,-1.481996590825013e-10,8.068763474090695e-11,-0.0111542,0.00874335
1698386707.1540065,15.51047134399414,22008.999999982847,3.364108000808274e-11,1.9326351805595648e-10,-0.0111542,0.00874335
1698386708.213352,16.569816827774048,22010.00000006559,-1.8077348094469993e-10,6.955544831392302e-11,-0.0111542,0.00874335
1698386709.2667024,17.623167276382446,22010.999999935164,-9.836974853614412e-11,3.2277162686649874e-10,-0.0111542,0.00874335
1698386710.323046,18.679510831832886,22012.000000017906,-2.428065465453687e-10,-1.001180655509946e-10,-0.0111542,0.00874335
1698386711.3763983,19.732863187789917,22013.00000010065,-2.40851617555469e-10,4.120694956385558e-10,-0.0111542,0.00875098
1698386712.4317462,20.78821110725403,22013.999999970223,-5.659201561182493e-11,2.0770403157938043e-10,-0.0111542,0.00875098
1698386713.4860964,21.8425612449646,22015.000000052965,-3.044320157594618e-11,-6.262674263163916e-12,-0.0111542,0.00875098
1698386714.5404444,22.89690923690796,22015.99999992254,1.291817101262233e-10,1.0884190215567523e-10,-0.0111542,0.00875098
1698386715.5937955,23.950260400772095,22017.000000005282,-1.2259140035159257e-10,1.7525352138382294e-10,-0.0111542,0.00875098
1698386716.6461446,25.002609491348267,22018.000000088025,-2.4815168058889635e-10,2.1360190367528452e-10,-0.0111542,0.00875098
1698386717.7024891,26.058954000473022,22018.9999999576,6.138347779847955e-10,-1.321503426465049e-10,-0.0111542,0.00875098
1698386718.7548416,27.1113064289093,22020.00000004034,-6.160821547538055e-11,3.7145011317956025e-11,-0.0111542,0.00875098
1698386719.8131852,28.169650077819824,22020.999999909916,-1.3230902756957472e-10,-7.320087264951092e-11,-0.0111542,0.00875098
1698386720.8695328,29.22599768638611,22021.99999999266,7.368428654025005e-11,3.9478780463243674e-10,-0.0111542,0.00875098
1698386721.9208884,30.277353286743164,22023.0000000754,-3.34921041781236e-10,3.1679527808806326e-10,-0.0111542,0.00875098
1698386722.9762352,31.33270001411438,22023.999999944976,7.105052497025017e-11,2.872839639266684e-10,-0.0111542,0.00875098
1698386724.0305815,32.387046337127686,22025.000000027718,-3.453833626249417e-11,-3.7376384572505263e-10,-0.0111542,0.00875098
1698386725.0829303,33.43939518928528,22025.999999897293,9.60067284288097e-11,-9.812293967878966e-11,-0.0111542,0.00875098
1698386726.1422803,34.49874520301819,22026.999999980035,-2.0281435913305038e-10,2.3039745977093922e-10,-0.0111619,0.0087586
1698386727.1916335,35.54809832572937,22028.000000062777,3.653241083162343e-11,3.0706095370358504e-10,-0.0111619,0.0087586
1698386728.2449815,36.60144639015198,22028.99999993235,-2.0483774650558382e-11,-3.4091482982245625e-10,-0.0111619,0.0087586
1698386729.3013256,37.657790422439575,22030.000000015094,1.1329157334415585e-10,-3.301091657625061e-12,-0.0111619,0.0087586
1698386730.3556771,38.71214199066162,22031.000000097833,-2.5709152905494985e-10,-4.301542585117772e-11,-0.0111619,0.0087586
1698386731.4100242,39.766489028930664,22031.99999996741,1.0442160561195616e-11,8.835979722176645e-11,-0.0111619,0.0087586
1698386732.4663713,40.82283616065979,22033.000000050153,-6.172200357298321e-11,-6.95973767542353e-11,-0.0111619,0.0087586
1698386733.521722,41.87818694114685,22033.999999919728,-3.256388395606563e-10,1.4659512322358896e-10,-0.0111619,0.0087586
1698386734.573073,42.929537773132324,22035.00000000247,-1.0479475636246402e-10,1.714334570549579e-10,-0.0111619,0.0087586
1698386735.628421,43.984885931015015,22036.00000008521,-2.4236802948009667e-11,-2.2618705279421113e-10,-0.0111619,0.00876623
1698386736.681778,45.03824281692505,22036.999999954787,1.0666984815996963e-10,-4.156022450209741e-10,-0.0111619,0.0087586
1698386737.7371187,46.09358358383179,22038.00000003753,-9.675043259281493e-11,2.665672947241689e-10,-0.0111619,0.00876623
1698386738.790467,47.146931886672974,22038.999999907104,-1.586342131567376e-11,-2.5952146151098326e-10,-0.0111619,0.00876623
1698386739.8458133,48.20227813720703,22039.999999989846,8.400802090203854e-11,3.4739691722164964e-11,-0.0111619,0.00876623
1698386740.9001667,49.25663161277771,22041.000000072585,3.1259519861801974e-10,1.9874847540854915e-10,-0.0111619,0.00876623
1698386741.9525168,50.3089816570282,22041.999999942163,1.6153178995737494e-10,4.1049074762567626e-10,-0.0111619,0.00876623
1698386743.013858,51.370322942733765,22043.000000024906,3.286470505496692e-10,-1.4218564891741362e-11,-0.0111619,0.00876623
1698386744.0652084,52.42167329788208,22043.99999989448,1.043223502333408e-10,-1.6101411595464023e-10,-0.0111619,0.00876623
1698386745.1175592,53.474024057388306,22044.999999977223,8.534348501493502e-11,3.0575096822993444e-10,-0.0111619,0.00876623
1698386746.1719098,54.528374671936035,22046.00000005996,1.2986474791862624e-10,-3.384967090656849e-10,-0.0111619,0.00876623
1698386747.2262588,55.58272361755371,22046.99999992954,5.030138905511949e-11,1.4407583000612307e-10,-0.0111695,0.00876623
1698386748.2826061,56.639070987701416,22048.00000001228,6.2266454883469e-11,3.3447640242158216e-11,-0.0111619,0.00876623
1698386749.331958,57.6884229183197,22049.00000009502,1.5962157226887027e-10,2.15721825406708e-10,-0.0111695,0.00876623
1698386750.391304,58.74776887893677,22049.9999999646,5.253503704278827e-11,5.462638806709633e-11,-0.0111695,0.00876623
1698386751.4456515,59.80211639404297,22051.000000047337,1.2057067215742703e-10,2.5251860804118547e-10,-0.0111695,0.00876623
1698386752.4990022,60.855467081069946,22051.999999916916,-1.9893882310660405e-10,-2.1620975371653683e-12,-0.0111695,0.00876623
1698386753.5533957,61.909860610961914,22052.999999999658,6.68947239120999e-11,2.452328922026733e-10,-0.0111695,0.00876623
1698386754.6037488,62.96021366119385,22054.000000082397,-4.5170566235636406e-10,2.820298603612229e-10,-0.0111695,0.00876623
1698386755.6611018,64.0175666809082,22054.999999951975,5.134607510555524e-10,7.256112380728291e-11,-0.0111695,0.00876623
1698386756.716444,65.07290887832642,22056.000000034714,7.028808287495493e-11,1.7983256469196922e-10,-0.0111695,0.00876623
1698386757.7707922,66.12725710868835,22056.999999904292,3.1990571284084645e-10,-3.69703094833215e-11,-0.0111695,0.00876623
1698386758.82514,67.18160486221313,22057.999999987034,1.7477944553805012e-10,2.0298337156280476e-10,-0.0111695,0.00876623
1698386759.8804896,68.2369544506073,22059.000000069773,1.1677676672273912e-10,1.1957780916448643e-10,-0.0111695,0.00876623
1698386760.9308407,69.2873055934906,22059.99999993935,-2.874782694715964e-10,1.1724849259693105e-10,-0.0111695,0.00877386
1698386761.988186,70.34465074539185,22061.00000002209,6.927382277235643e-11,4.300042313787424e-10,-0.0111695,0.00877386
1698386763.0405388,71.39700365066528,22062.000000104832,7.725197628959526e-11,5.971685940088064e-11,-0.0111695,0.00877386
1698386764.097885,72.45434975624084,22062.99999997441,2.1795862730360383e-11,-1.710481235570437e-10,-0.0111695,0.00877386
1698386765.150235,73.50669980049133,22064.00000005715,2.7961761453340384e-10,1.4333800077107016e-10,-0.0111695,0.00877386
1698386766.2055833,74.5620481967926,22064.999999926727,4.34946901868358e-10,3.98603663748999e-10,-0.0111733,0.00877768
1698386767.2599313,75.61639618873596,22066.000000009466,5.7730824208212444e-11,2.1843567153453152e-10,-0.0111733,0.00877768
1698386768.3162796,76.67274451255798,22067.00000009221,-4.067782254173172e-11,2.2571477034780268e-11,-0.0111733,0.00878149
1698386769.3676305,77.72409534454346,22067.999999961787,-4.060454053322131e-11,-3.975036296836968e-10,-0.0111733,0.00878149
1698386770.421982,78.7784469127655,22069.000000044525,1.8273533616662755e-10,1.9573383291836734e-10,-0.0111733,0.00878149
1698386771.4803257,79.83679056167603,22069.999999914104,2.0116573038631702e-10,-2.390694114767673e-10,-0.0111733,0.00878149
1698386772.5326772,80.88914203643799,22070.999999996842,1.0816554322987072e-10,1.2045212227530513e-10,-0.0111733,0.00878149
1698386773.585026,81.94149088859558,22072.000000079584,6.430177763797923e-11,-3.7699790135126394e-11,-0.0111733,0.00878531
1698386774.6413734,82.99783825874329,22072.999999949163,4.3389745403340306e-10,-8.334693679151004e-11,-0.0111733,0.00878531
1698386775.6947205,84.05118536949158,22074.0000000319,-3.871207131428834e-12,-1.189731243719001e-10,-0.0111733,0.00878531
1698386776.749072,85.10553693771362,22074.99999990148,4.066495953939403e-11,4.8179735765688986e-11,-0.0111733,0.00878531
1698386777.8054173,86.16188216209412,22075.99999998422,2.028653782528994e-10,-3.594937051412457e-11,-0.0111733,0.00878531
1698386778.8577693,87.21423411369324,22077.00000006696,3.781469137716213e-11,3.765730512259758e-11,-0.0111733,0.00878531
1698386779.9141178,88.27058267593384,22077.99999993654,-6.159405380453761e-11,1.3696487784360279e-10,-0.0111733,0.00878912
1698386780.9664674,89.32293224334717,22079.000000019278,-3.8141083877345333e-10,1.4645004339914556e-10,-0.0111733,0.00878912
1698386782.024814,90.38127875328064,22080.000000102016,2.9478637188148484e-10,4.015693278841258e-10,-0.0111771,0.00878912
1698386783.077163,91.43362784385681,22080.999999971595,2.046262490633006e-11,2.1911029890232903e-10,-0.0111733,0.00878912
1698386784.133512,92.48997688293457,22082.000000054337,1.2670391245956792e-10,-1.0774118783544165e-10,-0.0111771,0.00878912
1698386785.18386,93.54032492637634,22082.999999923915,2.658172827417097e-10,3.829143258543858e-10,-0.0111771,0.00878912
1698386786.2412083,94.59767317771912,22084.000000006654,4.067210221617289e-10,5.982662162611705e-10,-0.0111771,0.00878912
1698386787.2965574,95.65302228927612,22085.000000089392,1.942096908240656e-11,6.312961181341407e-10,-0.0111771,0.00878912
1698386788.3479118,96.70437669754028,22085.99999995897,-1.1331105337173458e-10,8.08688917594251e-11,-0.0111809,0.00879294
1698386789.404253,97.76071786880493,22087.000000041713,-1.705607518194314e-10,3.030490574840877e-10,-0.0111809,0.00879294
1698386790.4566061,98.81307101249695,22087.99999991129,4.122066597692529e-11,6.16271018259283e-10,-0.0111809,0.00879294
1698386791.5109944,99.86745929718018,22088.99999999403,-4.3807947582708785e-10,-1.2915753015548273e-11,-0.0111809,0.00879294
1698386792.5663471,100.92281198501587,22090.00000007677,5.070521311889416e-11,9.915680349168168e-11,-0.0111809,0.00879294
1698386793.6197321,101.97619700431824,22090.999999946347,8.38258981045169e-11,1.7432014977669414e-10,-0.0111809,0.00879294
1698386794.6720831,103.02854800224304,22092.00000002909,-2.9736095127245983e-10,1.024751488880193e-10,-0.0111809,0.00879294
1698386795.728431,104.0848958492279,22092.999999898668,6.973874609723513e-11,-2.8702800254841983e-11,-0.0111809,0.00879294
1698386796.7807765,105.13724136352539,22093.999999981406,2.6716239410635936e-10,7.221586350895917e-12,-0.0111809,0.00879294
1698386797.840123,106.19658780097961,22095.000000064145,2.5815136623794683e-10,2.832370654988868e-10,-0.0111809,0.00879294
1698386798.8924756,107.24894046783447,22095.999999933723,1.848722642713341e-11,3.6895234075446703e-10,-0.0111809,0.00879294
1698386799.9448261,108.30129098892212,22097.000000016465,-2.4621542768892935e-10,2.6804907548865667e-10,-0.0111809,0.00879675
1698386801.0011735,109.35763835906982,22098.000000099204,1.4989423595777745e-10,8.81759428662378e-11,-0.0111809,0.00879675
1698386802.0575204,110.41398525238037,22098.999999968783,-4.6866039810594766e-11,5.0559205674089874e-11,-0.0111848,0.00879675
1698386803.1108708,111.46733570098877,22100.00000005152,-4.0097317719885967e-11,-6.249897838726574e-11,-0.0111809,0.00879675
1698386804.1642213,112.52068614959717,22100.9999999211,-1.4252688952750683e-10,-3.6932957303456284e-11,-0.0111848,0.00879675
1698386805.21857,113.57503485679626,22102.00000000384,5.462199733072144e-12,1.694280036760684e-11,-0.0111848,0.00880057
1698386806.2729185,114.62938332557678,22103.00000008658,8.443559204705203e-11,8.797675185407575e-12,-0.0111848,0.00880057
1698386807.3292642,115.68572902679443,22103.99999995616,-1.5447105297705758e-11,-1.1056152478069547e-10,-0.0111848,0.00880057
1698386808.3836114,116.74007630348206,22105.000000038897,3.062653646407273e-10,3.8029280887314973e-10,-0.0111848,0.00880057
1698386809.4379773,117.79444217681885,22105.999999908476,-2.7206486771366975e-11,-9.091668998452713e-12,-0.0111848,0.00880438
1698386810.4923124,118.84877729415894,22106.999999991218,-6.094032881553884e-11,4.810466035781419e-10,-0.0111848,0.00880438
1698386811.544662,119.90112686157227,22108.000000073956,1.657841253744153e-10,6.031338113429112e-11,-0.0111848,0.00880438
1698386812.6010094,120.95747423171997,22108.999999943535,-1.6652176908539605e-10,-1.6512396888424768e-10,-0.0111848,0.00880438
1698386813.6563573,122.01282215118408,22110.000000026273,-1.9026334644340454e-10,4.903213229944771e-10,-0.0111886,0.00880438
1698386814.712706,123.06917095184326,22110.999999895852,9.183200391529725e-11,8.988826821108569e-12,-0.0111886,0.00880438
1698386815.761059,124.11752390861511,22111.999999978594,-4.583471149335586e-11,-1.1952679004463738e-10,-0.0111886,0.00880438
1698386816.8174098,125.17387461662292,22113.000000061333,-5.265049485704054e-12,1.6415312141453888e-10,-0.0111886,0.0088082
1698386817.8737528,126.2302176952362,22113.99999993091,2.1498832506667263e-10,3.2100543769936175e-10,-0.0111886,0.0088082
1698386818.9251037,127.28156852722168,22115.00000001365,1.483795555911568e-10,5.0541642728590324e-11,-0.0111886,0.0088082
