#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 1
#	Drive Amplitude (Vpp): 4
#	stop frequency (Hz): 23000
#	start frequency (Hz): 22000
#	Frequency Step (Hz): 1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1701379169.2810316,6.005298614501953,22000.000000090837,-2.4311816514527075e-11,1.3505742446377352e-09,4.36308e-05,0.00142384
1701379170.340376,7.064642906188965,22000.99999996041,-4.543447422830997e-11,1.6459171268943974e-09,4.38693e-05,0.00142384
1701379171.3937275,8.117994546890259,22002.000000043154,-7.91600295305912e-11,1.473752457629628e-09,4.41077e-05,0.0014236
1701379172.447075,9.171341896057129,22002.999999912732,2.824999783601226e-11,1.4092689282422712e-09,4.43461e-05,0.00142384
1701379173.49943,10.223696947097778,22003.99999999547,4.0502749658952845e-11,1.4580830944934526e-09,4.38693e-05,0.00142432
1701379174.5537806,11.278047561645508,22005.000000078213,-7.617779191168317e-11,1.4683403493960438e-09,4.41077e-05,0.00142408
1701379175.6091292,12.333396196365356,22005.999999947788,-7.533718234064351e-11,1.4815703183485046e-09,4.36308e-05,0.00142384
1701379176.6694746,13.393741607666016,22007.00000003053,1.046139322334476e-11,1.6040608554461894e-09,4.36308e-05,0.00142384
1701379177.7178302,14.442097187042236,22007.99999990011,-8.960763213123739e-11,1.4797067908848312e-09,4.41077e-05,0.00142408
1701379178.7721767,15.496443748474121,22008.999999982847,-9.538046100249332e-11,1.5196820337652242e-09,4.41077e-05,0.00142408
1701379179.8255303,16.549797296524048,22010.00000006559,-2.8498352727301546e-12,1.6408885587593636e-09,4.41077e-05,0.00142408
1701379180.8808796,17.605146646499634,22010.999999935164,8.27091050313612e-11,1.5826101911727955e-09,4.38693e-05,0.00142456
1701379181.9392278,18.66349482536316,22012.000000017906,3.6630120176303975e-11,1.5084619089280277e-09,4.36308e-05,0.0014248
1701379182.9925783,19.716845273971558,22013.00000010065,-1.7967759025034297e-11,1.5283487907970311e-09,4.38693e-05,0.00142504
1701379184.042932,20.76719903945923,22013.999999970223,4.992162127937061e-11,1.4149503555873007e-09,4.41077e-05,0.0014248
1701379185.0992796,21.823546648025513,22015.000000052965,-1.544811331183126e-10,1.3277022804473836e-09,4.38693e-05,0.00142504
1701379186.1536303,22.877897262573242,22015.99999992254,-7.4029423155859e-11,1.3845443206671475e-09,4.36308e-05,0.00142527
1701379187.2089794,23.93324637413025,22017.000000005282,8.103815155460906e-12,1.519186189761649e-09,4.36308e-05,0.00142527
1701379188.2603323,24.984599351882935,22018.000000088025,1.0883769694337253e-11,1.6474635318773609e-09,4.41077e-05,0.00142551
1701379189.3196769,26.043943881988525,22018.9999999576,-2.6276763804324353e-11,1.4922128449076528e-09,4.41077e-05,0.00142527
1701379190.371042,27.095309019088745,22020.00000004034,-3.528327725364725e-11,1.5272977969281413e-09,4.43461e-05,0.00142504
