#Procedure: <__main__.zurich_sr830_fsweep>
#Parameters:
#	Delay (s): 3
#	Drive Amplitude (Vpp): 4
#	stop frequency (Hz): 23500
#	start frequency (Hz): 22500
#	Frequency Step (Hz): 0.1
#	SR830 addr.: 2::25
#	Zurich addr.: dev4934
#Data:
UTC,timestamp,f,X_zur,Y_zur,X_sr,Y_sr
1701793984.412254,18.0069797039032,22499.999999894273,2.8428719358877307e-11,2.1105502921242144e-10,4.67303e-05,0.00147129
1701793987.4894407,21.084166288375854,22500.099999902544,-3.909418906161815e-11,1.2499338051408441e-10,4.57766e-05,0.00147153
1701793990.5485554,24.14328098297119,22500.19999991082,1.3793034511521841e-11,1.1170150836287344e-10,4.57766e-05,0.00147057
1701793993.6116679,27.206393480300903,22500.299999919094,-1.4917001182135092e-11,1.7388923919838145e-10,4.64919e-05,0.00147129
1701793996.6768255,30.27155113220215,22500.399999927366,-9.458221276126768e-11,1.354239149000902e-10,4.64919e-05,0.00147105
1701793999.7379403,33.33266592025757,22500.49999993564,1.106473605847566e-10,2.721747598057567e-10,4.69687e-05,0.00147105
1701794002.802052,36.396777629852295,22500.599999943915,1.011965788239242e-10,1.072178862691842e-10,4.62534e-05,0.00147081
1701794005.864164,39.4588897228241,22500.69999995219,-4.74031938409082e-11,1.6954426542796677e-11,4.6015e-05,0.00147105
1701794008.9282758,42.52300143241882,22500.799999960465,2.569681555469513e-11,2.756211786532547e-10,4.64919e-05,0.00147105
1701794011.9913876,45.5861132144928,22500.899999968737,6.395620813286854e-11,2.1330939405481683e-10,4.64919e-05,0.00147081
1701794015.0505006,48.64522624015808,22500.99999997701,-1.3982151566564614e-10,4.703239306198127e-11,4.62534e-05,0.00147129
1701794018.1216068,51.71633243560791,22501.099999985287,8.264120322094396e-11,2.2275813505085528e-10,4.62534e-05,0.00147057
1701794021.1787238,54.773449420928955,22501.199999993558,-9.719884427526977e-11,2.913393346204129e-10,4.64919e-05,0.00147105
1701794024.2398453,57.83457088470459,22501.300000001833,6.988370223896373e-11,2.7875665915578194e-10,4.67303e-05,0.00147105
1701794027.3019497,60.89667534828186,22501.400000010108,4.057634087425022e-11,2.297988354313774e-10,4.64919e-05,0.00147105
1701794030.3660603,63.96078586578369,22501.500000018383,7.588082971348318e-11,2.377724745295265e-10,4.69687e-05,0.00147153
1701794033.42917,67.02389550209045,22501.600000026658,8.499915233697216e-11,1.225372273225165e-10,4.57766e-05,0.00147081
1701794036.493327,70.08805251121521,22501.70000003493,5.946269142199644e-11,3.422622293173295e-11,4.62534e-05,0.00147153
1701794039.5544403,73.14916586875916,22501.800000043204,3.5155018278414684e-11,2.0601254677197394e-10,4.64919e-05,0.00147105
1701794042.617552,76.21227765083313,22501.90000005148,-3.160402569556551e-11,2.9032538372460134e-11,4.57766e-05,0.00147129
1701794045.6776683,79.27239394187927,22502.00000005975,-1.490551724206726e-10,8.880097346540634e-11,4.6015e-05,0.00147177
1701794048.7457757,82.34050130844116,22502.100000068025,-1.3518483621240981e-10,1.877854250940344e-10,4.6015e-05,0.00147105
1701794051.8078873,85.4026129245758,22502.2000000763,-1.6950765534439025e-10,1.3101128668468784e-10,4.69687e-05,0.00147153
